accession,label,seq_len,frac_signal_region,frac_att_in_signal,att_enrichment,peak_in_signal
D4A3K5,Nucleus,214,0.77103,1.00000,1.29696,True
F4IHY7,Nucleus,527,0.68121,0.99996,1.46791,True
F4JL11,Nucleus,535,0.08972,0.65242,7.27182,True
G3N131,Nucleus,218,0.66514,0.99995,1.50338,True
G5EF76,Nucleus,173,0.45087,0.16805,0.37272,False
L7R9Z0,Nucleus,201,0.24876,0.00879,0.03532,False
O13297,Nucleus,549,0.25501,0.01135,0.04453,False
O13722,Nucleus,450,0.32444,0.43913,1.35349,False
O13911,Nucleus,408,0.09314,0.99999,10.73670,True
O14519,Nucleus,115,0.05217,0.16010,3.06864,False
O15156,Nucleus,539,0.48794,0.75978,1.55712,True
O15541,Nucleus,343,0.34111,0.99252,2.90969,True
O43248,Nucleus,304,0.23684,0.70847,2.99130,True
O43298,Nucleus,467,0.17987,0.16816,0.93490,False
O49687,Nucleus,589,0.25467,0.85264,3.34805,True
O54941,Nucleus,411,0.46959,0.99020,2.10867,True
O59702,Nucleus,405,0.77284,0.94149,1.21822,True
O60907,Nucleus,577,0.04506,0.69516,15.42727,True
O73916,Nucleus,272,0.10662,0.00554,0.05195,False
O75593,Nucleus,365,0.48219,0.99822,2.07018,True
O77263,Nucleus,256,0.09766,0.11274,1.15451,False
P05455,Nucleus,408,0.19608,0.99035,5.05077,True
P09038,Nucleus,288,0.52083,0.00102,0.00196,False
P10922,Nucleus,194,0.70619,0.99999,1.41604,True
P13297,Nucleus,303,0.27723,0.41189,1.48576,False
P15655,Nucleus,154,0.11039,0.00328,0.02972,False
P17678,Nucleus,304,0.27961,0.86389,3.08968,True
P17679,Nucleus,413,0.42373,0.81805,1.93060,True
P17839,Nucleus,252,0.07937,0.44389,5.59307,True
P19335,Nucleus,242,0.13636,0.06136,0.45000,False
P19736,Nucleus,530,0.09623,0.00034,0.00355,False
P20436,Nucleus,146,0.16438,0.12087,0.73531,False
P21952,Nucleus,449,0.44766,0.53831,1.20250,False
P22492,Nucleus,207,0.59420,0.99989,1.68275,True
P25490,Nucleus,414,1.00000,1.00000,1.00000,True
P26368,Nucleus,475,0.19579,0.99990,5.10704,True
P27638,Nucleus,372,0.07796,0.03754,0.48161,False
P30307,Nucleus,473,0.20296,0.33099,1.63084,True
P31260,Nucleus,410,0.46098,0.62190,1.34910,True
P33399,Nucleus,275,0.19636,0.96303,4.90434,True
P36629,Nucleus,517,0.21663,0.99935,4.61308,True
P38165,Nucleus,486,0.22634,0.56911,2.51445,True
P38803,Nucleus,334,0.09581,0.54446,5.68280,False
P38826,Nucleus,435,0.34713,0.76420,2.20149,False
P38882,Nucleus,575,0.06261,0.08651,1.38174,False
P40362,Nucleus,594,0.25758,0.75849,2.94472,True
P41772,Nucleus,265,0.10189,0.60579,5.94576,True
P46640,Nucleus,310,0.10000,0.29492,2.94918,False
P46668,Nucleus,311,0.64309,0.47996,0.74633,False
P48436,Nucleus,509,0.84676,0.99416,1.17408,True
P48800,Nucleus,158,0.10759,0.00190,0.01768,False
P48967,Nucleus,447,0.06488,0.00971,0.14972,False
P52594,Nucleus,562,0.08719,0.00401,0.04603,False
P53043,Nucleus,513,0.63548,0.22051,0.34700,False
P56224,Nucleus,438,0.35616,0.71027,1.99422,False
P56517,Nucleus,480,0.87083,1.00000,1.14832,True
P62508,Nucleus,458,0.09607,0.38035,3.95915,False
P81183,Nucleus,526,0.25665,0.48353,1.88397,False
P92964,Nucleus,264,0.37500,0.99988,2.66634,True
Q01664,Nucleus,338,0.37574,0.41353,1.10057,True
Q02637,Nucleus,449,0.26949,0.37419,1.38853,True
Q03111,Nucleus,559,0.61538,0.99484,1.61661,True
Q03973,Nucleus,246,0.27642,0.92169,3.33436,True
Q04305,Nucleus,513,0.04483,0.02778,0.61959,False
Q08466,Nucleus,403,0.07692,0.71616,9.31008,True
Q12024,Nucleus,460,0.96522,0.99993,1.03597,True
Q12080,Nucleus,455,0.20879,0.01860,0.08906,False
Q13547,Nucleus,482,0.84232,0.99996,1.18715,True
A6NK89,Cytoplasm,507,0.27022,0.93811,3.47169,True
B0BN28,Cytoplasm,254,0.64567,0.99839,1.54629,True
D3YYI7,Cytoplasm,515,0.75340,0.00002,0.00002,False
F4KBF5,Cytoplasm,282,0.11348,0.88091,7.76300,True
